Molecule ChEMBL ID,SMILES,Standard Type,Standard Relation,Standard Value,Final Value(10^-6),log Pe,Result,Standard Units,Comment,Assay Description
CHEMBL3787239,Cc1c(Cc2c(Cl)cccc2Cl)nc(N(C)Cc2ccc(N3CCOCC3)cc2)[nH]c1=O,Peff,'=',21.9,21.9,-4.659555885,1,ucm/s,,Effective permeability of compound at pH 7.4 after 5 hrs by PAMPA
CHEMBL41910,CCCCNc1nc(SCC)nc2c1cnn2CC(Cl)c1ccccc1,Papp,'=',5.99,5.99,-5.222573178,1,ucm/s,,Apparent permeability at 500 uM after 5 hrs by Gastro-intestinal-based PAMPA
CHEMBL5440223,C[C@H]1CCCN1Cc1nc2cc(NC(=O)c3ccc(Cl)cc3F)ccc2[nH]1,permeability,'=',229,22.9,-4.640164518,1,nm/s,,Permeability of compound at pH 7.4 at 10 umol/L incubated for 3 hrs by LC-MS/MS based PAMPA assay
CHEMBL5410133,C[C@H]1CCCN1Cc1nc2cc(NC(=O)c3ccc(-c4cnccn4)cc3F)ccc2[nH]1,permeability,'=',329,32.9,-4.482804102,1,nm/s,,Permeability of compound at pH 7.4 at 10 umol/L incubated for 3 hrs by LC-MS/MS based PAMPA assay
CHEMBL4854762,Cc1c(Cc2ccccc2)c(-c2cc(Cl)nc(N)n2)nn1C,permeability,'=',274,27.4,-4.562249437,1,nm/s,,Permeability of the compound in PRISMA HT buffer at pH 7.4 at 10 umol/L incubated for 3 hrs bt PAMPA based LC/MS/MS analysis
CHEMBL4780624,CCOC(=O)[C@@H](Cc1ncccn1)NC(=O)Nc1c2c(cc3c1CCC3)CCC2,permeability,'=',82,8.2,-5.086186148,1,nm/s,,Permeability of compound at pH 7.4 incubated for 4 hrs by LC-MC/MS based PAMPA assay
CHEMBL4789040,COc1cc(OC)cc(C(=O)N(C)c2cnc(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)c(OC)c3)nc2)c1,permeability,'=',3.7,3.7,-5.431798276,1,10^-6 cm/s,,Permeability of compound at pH 7.4 incubated for 2 hrs by PAMPA assay
CHEMBL4756275,COc1cc(CCc2cnc(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)c(OC)c3)nc2)cc(OC)c1,permeability,'=',15.1,15.1,-4.821023053,1,10^-6 cm/s,,Permeability of compound at pH 7.4 incubated for 2 hrs by PAMPA assay
CHEMBL4095388,COc1ccc2nc(C)cc(OCC(=O)Nc3ccc(C)c(C)c3)c2c1,permeability,'=',5.9,5.9,-5.229147988,1,10^-6 cm/s,,Permeability of the compound at 1 uM after 5 mins by PAMPA
CHEMBL4064672,COC(=O)C1=C(CN2CCOC[C@H]2C(=O)O)NC(c2nccs2)=N[C@H]1c1ccc(F)cc1Cl,permeability,'=',1.4,1.4,-5.853871964,1,10^-6 cm/s,,Permeability of the compound at 150 uM after 18 hrs by PAMPA
CHEMBL5566178,CN1CCN(c2cccc(NC(=O)Cn3c(-c4nonc4N)nc4ccccc43)c2)CC1,permeability,'=',3.57,3.57,-5.447331784,1,10^-6 cm/s,,Permeability of compound at 50 ug/ml incubated for 18 hrs by PAMPA
CHEMBL5558811,CNc1ccc(-c2nnn(C)n2)cc1,Peff,'=',0.093,93000,-1.031517051,1,cm/s,,Effective permeability of compound at 10 uM incubated for 16 hrs by PAMPA based LC-MS/MS analysis
CHEMBL5556643,Cn1nnc(-c2cnc(NC3CCCCC3)s2)n1,Peff,'=',0.21,210000,-0.677780705,1,cm/s,,Effective permeability of compound at 10 uM incubated for 16 hrs by PAMPA based LC-MS/MS analysis
CHEMBL5555829,Cn1nnc(-c2ccc(NC3CCCCC3)c(N)c2)n1,Peff,'=',0.035,35000,-1.455931956,1,cm/s,,Effective permeability of compound at 10 uM incubated for 16 hrs by PAMPA based LC-MS/MS analysis
CHEMBL5512506,Cc1c(-c2nnn(C)n2)ccc(NC2CCCCC2)c1N,Peff,'=',0.029,29000,-1.537602002,1,cm/s,,Effective permeability of compound at 10 uM incubated for 16 hrs by PAMPA based LC-MS/MS analysis
CHEMBL5558211,COC[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)c1cc(Cl)c(Cl)[nH]1)c1cn2cccnc2n1,permeability,'=',0.74,0.74,-6.13076828,1,10^-6 cm/s,,Permeability of the compound at pH 7.4 at 1 uM incubated for 5 hrs by PAMPA - LC/MS/MS assay
CHEMBL5550028,O=C(N[C@@]1(C(=O)NCc2cn3cccnc3n2)CO[C@H](c2ccccc2)C1)c1cc(Cl)c(Cl)[nH]1,permeability,'=',0.79,0.79,-6.102372909,1,10^-6 cm/s,,Permeability of the compound at pH 7.4 at 1 uM incubated for 5 hrs by PAMPA - LC/MS/MS assay
CHEMBL5583830,CCN(Cc1ccccc1)Cc1cccc(OCc2ccccc2)c1,permeability,'=',36,36,-4.443697499,1,10^-6 cm/s,,Permeability of the compound in PBS at pH 7.4 at 50 to 100 uM measured after 3 to 6 hrs by PAMPA based UV plate reader analysis
CHEMBL5590894,CC(CCc1ccccc1)NCc1ccc(OCc2ccccc2)cc1,permeability,'=',22,22,-4.657577319,1,10^-6 cm/s,,Permeability of the compound in PBS at pH 7.4 at 50 to 100 uM measured after 3 to 6 hrs by PAMPA based UV plate reader analysis
CHEMBL5542170,CCCN(CCCc1ccccc1)Cc1ccc(OCc2ccccc2)cc1,permeability,'=',25,25,-4.602059991,1,10^-6 cm/s,,Permeability of the compound in PBS at pH 7.4 at 50 to 100 uM measured after 3 to 6 hrs by PAMPA based UV plate reader analysis
CHEMBL215303,C[C@H]1NCc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc21,permeability,'=',0.55,0.55,-6.259637311,1,ucm/s,,Permeability of the compound at 100 ug/ml after 18 hrs by PAMPA
CHEMBL5170802,COc1cc(Nc2ncc(OCc3c(F)c(OC)cc(OC)c3F)cn2)ccc1N1CCC(N2CCN(C)CC2)CC1,permeability,'=',11.2,11.2,-4.950781977,1,10^-6 cm/s,,Permeability of the compound in aqueous buffer at pH 6.5 incubated for 2 hrs by PAMPA based HPLC analysis
CHEMBL4129081,COCCCCc1c(C(=O)N(CC(C)C)[C@@H]2CNC[C@H](C(=O)N3CCOCC3)C2)nnn1-c1ccccc1,permeability,'=',369,36.9,-4.432973634,1,nm/s,,Permeability of the compound at pH 7.4 buffer after 3 hrs by PAMPA
CHEMBL4125900,CC(C)CN(C(=O)c1nc2ccccc2[nH]1)[C@@H]1CNC[C@H](C(=O)N2CCOCC2)C1,permeability,'=',60,6,-5.22184875,1,nm/s,,Permeability of the compound at pH 7.4 buffer after 3 hrs by PAMPA
CHEMBL4126759,CCn1c(C(=O)N(CC(C)C)[C@@H]2CNC[C@H](CO)C2)nc2ccccc21,permeability,'=',55,5.5,-5.259637311,1,nm/s,,Permeability of the compound at pH 7.4 buffer after 3 hrs by PAMPA
CHEMBL3632994,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,permeability,'=',5,5,-5.301029996,1,ucm/s,,Permeability of the compound at 50 to 100 uM after 18 hrs by PAMPA
CHEMBL3581736,O=C1NCCN1c1cc(S(=O)(=O)Nc2ccc(F)cc2F)cc2c1N(C(=O)Nc1ccc(C(F)(F)F)cc1)CC2,permeability,'=',94,9.4,-5.026872146,1,nm/s,,Permeability of the compound using filter-immobilized artificial membranes measured at pH 7.4 by PAMPA
CHEMBL4756468,O=C(NCCN1CCCC1)c1cc(NCCCN2CCOCC2)nc2ccc(F)cc12,permeability,'=',2.3,0.23,-6.638272164,1,nm/s,,Permeability of the compound at 10 uM incubated for 5 hrs by UPLC-MS/MS analysis based PAMPA method
CHEMBL4742956,O=C(NCCN1CCC(F)(F)CC1)c1cc(NCCCN2CCOCC2)nc2ccc(F)cc12,permeability,'=',94,9.4,-5.026872146,1,nm/s,,Permeability of the compound at 10 uM incubated for 5 hrs by UPLC-MS/MS analysis based PAMPA method
CHEMBL5200145,O=C(NC1CCCC1)[C@@H]1CCCCOc2cccc(c2)C[C@H](N2CCCC2=O)C(=O)N[C@@H](COc2ccccc2)C(=O)N1,permeability,'=',208,20.8,-4.681936665,1,nm/s,,Permeability of the compound in PRISMA HT buffer at pH 7.4 at 10 uM incubated for 3 hrs by PAMPA based LC/MS/MS analysis
CHEMBL2414570,Cc1ccc(CNS(=O)(=O)/C=C/c2ccc(O)c(O)c2)cc1,permeability,'=',6.7,6.7,-5.173925197,1,ucm/s,,Permeability of the compound at 25 ug/ml after 18 hrs by PAMPA assay
CHEMBL4875030,CN1CC[C@H]2CN(c3cccc4c3C[C@H](CN(C)[C@H]3CCCc5cccnc53)NC4)C[C@H]21,permeability,'=',9,0.9,-6.045757491,1,nm/s,,Permeability of the compound at pH 7.4 incubated for 4 hrs by PAMPA
CHEMBL4217126,COc1ccc(Cn2cc(C(=O)NCCCNc3c4c(nc5ccc(OC)cc35)CCCC4)c(=O)c3ccccc32)cc1,Peff,'=',4.85,4.85,-5.314258261,1,ucm/s,,Effective permeability of the compound dissolved in PBS containing 1% F-127 at 100 uM after 3 to 6 hrs by PAMPA
CHEMBL3799425,c1ccc(CCc2nnn[nH]2)cc1,Peff,'=',4.83,0.483,-6.316052869,1,10'-7 cm/s,,Effective permeability of compound at pH 7.4 at 200 uM after 5 hrs by PAMPA
CHEMBL3799830,O=S1NC(CCc2ccccc2)=NO1,Peff,'=',1.1,0.11,-6.958607315,1,10'-7 cm/s,,Effective permeability of compound at pH 7.4 at 200 uM after 5 hrs by PAMPA
CHEMBL16,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,permeability,'=',6,6,-5.22184875,1,10^-6 cm/s,,Permeability of the compound at 200 uM measured after 5 hrs at pH 7.4 by PAMPA
CHEMBL4854767,N#Cc1ccccc1-c1cc(-c2cc(Cl)cc(OCC3CC3)c2)c(=O)n(-c2cccnc2)c1,permeability,'=',4.27,4.27,-5.369572125,1,10^-6 cm/s,,Permeability of compound in PBS at pH 7.4 after 18 hrs by PAMPA
CHEMBL4870541,Cn1cc(-c2cc(-c3cc(Cl)cc(OCC4CC4)c3)c(=O)n(-c3cccnc3)c2)c(=O)[nH]c1=O,permeability,'=',3.25,3.25,-5.488116639,1,10^-6 cm/s,,Permeability of compound in PBS at pH 7.4 after 18 hrs by PAMPA
CHEMBL4861071,Cn1cc(-c2cc(-c3cc(Cl)c(F)c(OCc4ccccc4Cl)c3)c(=O)n(-c3cccnc3)c2)c(=O)[nH]c1=O,permeability,'=',1.5,1.5,-5.823908741,1,10^-6 cm/s,,Permeability of compound in PBS at pH 7.4 after 18 hrs by PAMPA
CHEMBL4845823,CCN(C)C(=O)Oc1cccc(CNCCNCCOc2cccc3c2ccn3S(=O)(=O)c2ccccc2)c1,permeability,'=',1.27,1.27,-5.896196279,1,10^-6 cm/s,,Permeability coefficient of the compound in PBS buffer incubated for 5 hrs by PAMPA-based LC-MS analysis
