No,Compound name,SMILES,Lecithin(%),pH,DMSO_Conc (w/v%),Donor_Plate_Volume (µm),Acceptor_Plate_Volume (µm),Temperature (??,Incubation_Time (hr),%T/MR,Pe,logPe,Source
1485,,C1=CC(=CC=C1NCC2=C(C=C(C=C2)[N+](=O)[O-])O)[S+](=O)(NC3=NC=CS3)[O-],20,7.4,0.5,200,200,25,0.5,,1.2,-5.920818754,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1486,,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC=NN4,20,7.4,0.5,200,200,25,0.5,,879.71,-3.055660471,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1487,,COC1=CC2=C(C=C1)NC(=O)C(=C2)C3=NOC(=N3)C4=CC=CS4,20,7.4,0.5,200,200,25,0.5,,350.65,-3.455126157,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1488,,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl,20,7.4,0.5,200,200,25,0.5,,46.01,-4.337147767,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1489,,C1=CC(=C(C=C1NC2=NC(=NC=C2)C3=CC=NC=C3)F)F,20,7.4,0.5,200,200,25,0.5,,370.6,-3.431094585,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1490,,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CN(N=C4)C,20,7.4,0.5,200,200,25,0.5,,54.88,-4.260585897,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1491,,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=CC=C4,20,7.4,0.5,200,200,25,0.5,,501.12,-3.300058264,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1492,,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)C5=CC=NC=C5)F,20,7.4,0.5,200,200,25,0.5,,15.4,-4.812479279,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1493,,CN(C)C1=NC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1494,,[2H]C([2H])([2H])C([2H])(C1=CC=CC=C1C2=NC=C(C(=N2)NC([2H])([2H])C3=CC=C(C=C3)N4C=CN=N4)C)C([2H])([2H])[2H],20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
